Borrower Transaction-Level Detail Report -- Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period	July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution	KING CNTY LIBR SYST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol	NTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests,Canceled,Requests,Filled,Requests,Filled,(Loan),Requests,Filled,(Copy),Requests,Unfilled,Direct,Request:,Unmediated,Direct,Request:,Mediated,Average,Turnaround,Time,For,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Loan,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Copy,Filled,Requests,(dd:hh:mm)
BUTTE-SILVER BOW PUB LIBR	MZE	MT	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL POLY HUMBOLDT	CHU	CA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA INST OF THE ARTS LIBR	CIA	CA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA STATE LIBR	CAX	CA	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA STATE UNIV FULLERTON	CFI	CA	Academic	6	6	0	3	3	0	3	0	0	1:00:00	1:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA STATE UNIV NORTHRIDGE	CNO	CA	Academic	3	3	0	2	2	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA STATE UNIV SAN BERNARDINO LI	CSB	CA	Academic	2	2	0	1	1	0	1	0	0	3:00:00	3:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA STATE UNIV-LONG BEACH LIBR	CLO	CA	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA STATE UNIV-SACRAMENTO LIBR	CSA	CA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMAS PUB LIBR	Z#6	WA	Public	3	3	0	1	1	0	2	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
